,QuestionId,Age_vot,AnsRank,Votes,ReScore,Norm_Pos,Norm_Pos_2,Norm_DRank
0,1.0,0,1,0.0,0.0,0.333333333333,0.111111111111,0.0
1,1.0,0,1,0.0,0.0,0.333333333333,0.111111111111,0.0
2,1.0,0,1,0.0,0.0,0.333333333333,0.111111111111,0.0
3,1.0,0,1,1.0,0.0,0.333333333333,0.111111111111,0.0
4,1.0,0,1,1.0,0.0,0.333333333333,0.111111111111,0.0
5,1.0,0,1,1.0,0.0,0.333333333333,0.111111111111,0.0
0,1.0,1,1,0.0,0.0,0.25,0.0625,0.0
1,1.0,1,1,0.0,0.0,0.25,0.0625,0.0
2,1.0,1,1,0.0,0.0,0.25,0.0625,0.0
3,1.0,1,1,1.0,0.0,0.25,0.0625,0.0
4,1.0,1,1,1.0,0.0,0.25,0.0625,0.0
5,1.0,1,1,1.0,0.0,0.25,0.0625,0.0
0,1.0,2,1,0.0,0.666666666667,0.25,0.0625,0.0
1,1.0,2,1,1.0,0.666666666667,0.25,0.0625,0.0
0,1.0,5,1,1.0,0.833333333333,0.25,0.0625,0.0
0,1.0,8,1,1.0,0.857142857143,0.25,0.0625,0.0
0,1.0,108,1,0.0,0.857142857143,0.2,0.04,0.0
0,1.0,158,1,1.0,0.875,0.2,0.04,0.0
0,1.0,951,1,0.0,0.875,0.166666666667,0.0277777777778,0.0
0,1.0,952,1,0.0,0.875,0.166666666667,0.0277777777778,0.0
0,1.0,1232,1,0.0,0.875,0.166666666667,0.0277777777778,0.0
0,1.0,1256,1,0.0,0.875,0.166666666667,0.0277777777778,0.0
0,1.0,1285,1,0.0,0.875,0.166666666667,0.0277777777778,0.0
0,1.0,1401,1,0.0,0.875,0.166666666667,0.0277777777778,0.0
0,1.0,1436,1,0.0,0.875,0.142857142857,0.0204081632653,0.0
1,1.0,1436,1,0.0,0.875,0.142857142857,0.0204081632653,0.0
2,1.0,1436,1,0.0,0.875,0.142857142857,0.0204081632653,0.0
0,2.0,0,1,0.0,0.0,0.2,0.04,0.0
1,2.0,0,1,0.0,0.0,0.2,0.04,0.0
2,2.0,0,1,0.0,0.0,0.2,0.04,0.0
3,2.0,0,1,0.0,0.0,0.2,0.04,0.0
4,2.0,0,1,0.0,0.0,0.2,0.04,0.0
5,2.0,0,1,0.0,0.0,0.2,0.04,0.0
6,2.0,0,1,0.0,0.0,0.2,0.04,0.0
7,2.0,0,1,0.0,0.0,0.2,0.04,0.0
8,2.0,0,1,1.0,0.0,0.2,0.04,0.0
0,2.0,1,1,0.0,0.0,0.2,0.04,0.0
1,2.0,1,1,1.0,0.0,0.2,0.04,0.0
0,2.0,2,1,1.0,0.75,0.2,0.04,0.0
0,2.0,15,1,0.0,0.8,0.2,0.04,0.0
1,2.0,15,1,1.0,0.8,0.2,0.04,0.0
0,2.0,26,1,1.0,0.833333333333,0.2,0.04,0.0
0,2.0,808,1,1.0,0.857142857143,0.2,0.04,0.0
0,3.0,0,1,0.0,0.0,0.166666666667,0.0277777777778,0.0
1,3.0,0,1,0.0,0.0,0.166666666667,0.0277777777778,0.0
2,3.0,0,1,0.0,0.0,0.166666666667,0.0277777777778,0.0
3,3.0,0,1,0.0,0.0,0.166666666667,0.0277777777778,0.0
4,3.0,0,1,0.0,0.0,0.166666666667,0.0277777777778,0.0
5,3.0,0,1,0.0,0.0,0.166666666667,0.0277777777778,0.0
6,3.0,0,1,0.0,0.0,0.166666666667,0.0277777777778,0.0
7,3.0,0,1,1.0,0.0,0.166666666667,0.0277777777778,0.0
8,3.0,0,1,1.0,0.0,0.166666666667,0.0277777777778,0.0
9,3.0,0,1,1.0,0.0,0.166666666667,0.0277777777778,0.0
10,3.0,0,1,1.0,0.0,0.166666666667,0.0277777777778,0.0
0,3.0,1,1,0.0,0.0,0.142857142857,0.0204081632653,0.0
1,3.0,1,1,0.0,0.0,0.142857142857,0.0204081632653,0.0
2,3.0,1,1,0.0,0.0,0.142857142857,0.0204081632653,0.0
3,3.0,1,1,0.0,0.0,0.142857142857,0.0204081632653,0.0
4,3.0,1,1,0.0,0.0,0.142857142857,0.0204081632653,0.0
5,3.0,1,1,0.0,0.0,0.142857142857,0.0204081632653,0.0
6,3.0,1,1,1.0,0.0,0.142857142857,0.0204081632653,0.0
7,3.0,1,1,1.0,0.0,0.142857142857,0.0204081632653,0.0
8,3.0,1,1,1.0,0.0,0.142857142857,0.0204081632653,0.0
9,3.0,1,1,1.0,0.0,0.142857142857,0.0204081632653,0.0
0,3.0,2,1,0.0,0.5,0.142857142857,0.0204081632653,-0.142857142857
1,3.0,2,1,0.0,0.5,0.142857142857,0.0204081632653,-0.142857142857
2,3.0,2,1,1.0,0.5,0.142857142857,0.0204081632653,-0.142857142857
0,3.0,3,1,1.0,0.833333333333,0.142857142857,0.0204081632653,0.0
0,3.0,5,1,0.0,0.0,0.125,0.015625,-0.25
0,3.0,6,1,0.0,0.833333333333,0.125,0.015625,0.0
0,3.0,8,1,0.0,0.833333333333,0.125,0.015625,0.0
0,3.0,13,1,0.0,0.857142857143,0.125,0.015625,0.0
1,3.0,13,1,0.0,0.857142857143,0.125,0.015625,0.0
2,3.0,13,1,1.0,0.857142857143,0.125,0.015625,0.0
0,3.0,30,1,1.0,0.875,0.125,0.015625,0.0
0,3.0,48,1,1.0,0.888888888889,0.125,0.015625,0.0
0,3.0,65,1,0.0,0.9,0.125,0.015625,0.0
1,3.0,65,1,1.0,0.9,0.125,0.015625,0.0
0,3.0,362,1,0.0,0.909090909091,0.125,0.015625,0.0
1,3.0,362,1,0.0,0.909090909091,0.125,0.015625,0.0
2,3.0,362,1,1.0,0.909090909091,0.125,0.015625,0.0
0,3.0,401,1,0.0,0.909090909091,0.125,0.015625,0.0
0,3.0,491,1,0.0,0.909090909091,0.125,0.015625,0.0
0,3.0,521,1,0.0,0.916666666667,0.125,0.015625,0.0
1,3.0,521,1,1.0,0.916666666667,0.125,0.015625,0.0
0,3.0,615,1,0.0,0.769230769231,0.125,0.015625,-0.375
1,3.0,615,1,1.0,0.769230769231,0.125,0.015625,-0.375
0,3.0,739,1,1.0,0.785714285714,0.125,0.015625,-0.375
0,3.0,743,1,1.0,0.8,0.125,0.015625,-0.25
0,3.0,751,1,0.0,0.8,0.111111111111,0.0123456790123,-0.222222222222
0,3.0,752,1,0.0,0.8125,0.111111111111,0.0123456790123,-0.333333333333
1,3.0,752,1,0.0,0.8125,0.111111111111,0.0123456790123,-0.333333333333
2,3.0,752,1,1.0,0.8125,0.111111111111,0.0123456790123,-0.333333333333
0,3.0,776,1,1.0,0.823529411765,0.111111111111,0.0123456790123,-0.333333333333
