,AnsId,QuestionId,index,Votes,AnsRank,Age_vot,ReScore,Norm_Pos,Norm_Pos_2,Norm_DRank
330,16,7.0,47,3.0,1,0,0.0,0.5,0.25,0.0
331,42,7.0,47,2.0,2,0,0.0,1.0,1.0,0.0
461,20,14.0,74,7.0,1,0,0.0,0.5,0.25,0.0
462,23,14.0,74,3.0,2,0,0.0,1.0,1.0,0.0
463,20,14.0,75,1.0,1,1,0.0,0.5,0.25,0.0
464,23,14.0,75,1.0,2,1,0.0,1.0,1.0,0.0
465,20,14.0,76,1.0,1,2,0.875,0.5,0.25,0.0
466,23,14.0,76,0.0,2,2,0.0,1.0,1.0,0.0
467,20,14.0,77,1.0,1,3,0.888888888889,0.5,0.25,0.0
468,23,14.0,77,1.0,2,3,0.75,1.0,1.0,0.0
469,20,14.0,78,1.0,1,30,0.9,0.5,0.25,0.0
470,23,14.0,78,0.0,2,30,0.75,1.0,1.0,0.0
471,20,14.0,79,1.0,1,37,0.909090909091,0.5,0.25,0.0
472,23,14.0,79,0.0,2,37,0.75,1.0,1.0,0.0
473,20,14.0,80,1.0,1,43,0.916666666667,0.5,0.25,0.0
474,23,14.0,80,0.0,2,43,0.75,1.0,1.0,0.0
475,20,14.0,81,1.0,1,48,0.923076923077,0.5,0.25,0.0
476,23,14.0,81,0.0,2,48,0.75,1.0,1.0,0.0
477,20,14.0,82,1.0,1,50,0.928571428571,0.5,0.25,0.0
478,23,14.0,82,0.0,2,50,0.75,1.0,1.0,0.0
479,20,14.0,83,1.0,1,255,0.933333333333,0.5,0.25,0.0
480,23,14.0,83,0.0,2,255,0.75,1.0,1.0,0.0
481,20,14.0,84,1.0,1,325,0.9375,0.5,0.25,0.0
482,23,14.0,84,0.0,2,325,0.75,1.0,1.0,0.0
483,20,14.0,85,1.0,1,889,0.941176470588,0.5,0.25,0.0
484,23,14.0,85,0.0,2,889,0.75,1.0,1.0,0.0
485,20,14.0,86,1.0,1,1365,0.944444444444,0.5,0.25,0.0
486,23,14.0,86,0.0,2,1365,0.75,1.0,1.0,0.0
496,24,18.0,90,2.0,1,0,0.0,0.5,0.25,0.0
497,33,18.0,90,3.0,2,0,0.0,1.0,1.0,0.0
498,33,18.0,91,1.0,1,1,0.0,0.5,0.25,0.0
