,AnsId,QuestionId,index,Votes,AnsRank,Age,ReScore,Norm_Pos,Norm_Pos_2,Norm_DRank,EPbias
3,56,1.0,1,3.0,1,1,0.987640296269,0.25,0.0625,0.0,0.328706624606
4,4,1.0,1,1.0,2,1,0.490730222202,0.5,0.25,-0.25,0.18927444795
5,5,1.0,1,1.0,3,1,0.981460444404,0.75,0.5625,0.25,0.218296529968
6,210,1.0,1,1.0,4,1,0.0,1.0,1.0,0.0,0.263722397476
7,56,1.0,2,1.0,1,2,0.993820148135,0.25,0.0625,0.0,0.328706624606
8,210,1.0,2,1.0,2,2,0.981460444404,0.5,0.25,0.0,0.18927444795
9,4,1.0,2,0.0,3,2,0.490730222202,0.75,0.5625,-0.25,0.218296529968
10,5,1.0,2,0.0,4,2,0.981460444404,1.0,1.0,0.25,0.263722397476
11,56,1.0,3,1.0,1,5,0.994702984115,0.25,0.0625,0.0,0.328706624606
12,210,1.0,3,0.0,2,5,0.981460444404,0.5,0.25,0.0,0.18927444795
13,4,1.0,3,0.0,3,5,0.490730222202,0.75,0.5625,-0.25,0.218296529968
14,5,1.0,3,0.0,4,5,0.981460444404,1.0,1.0,0.25,0.263722397476
15,56,1.0,4,1.0,1,8,0.995365111101,0.25,0.0625,0.0,0.328706624606
16,210,1.0,4,0.0,2,8,0.981460444404,0.5,0.25,0.0,0.18927444795
17,4,1.0,4,0.0,3,8,0.490730222202,0.75,0.5625,-0.25,0.218296529968
18,5,1.0,4,0.0,4,8,0.981460444404,1.0,1.0,0.25,0.263722397476
338,16,7.0,50,1.0,1,4,0.994702984115,0.25,0.0625,0.0,0.328706624606
339,42,7.0,50,1.0,2,4,0.992584177762,0.5,0.25,0.0,0.18927444795
340,127,7.0,50,0.0,3,4,0.981460444404,0.75,0.5625,0.0,0.218296529968
341,17,7.0,50,1.0,4,4,0.0,1.0,1.0,0.0,0.263722397476
342,42,7.0,51,1.0,1,5,0.993820148135,0.25,0.0625,-0.25,0.328706624606
343,17,7.0,51,1.0,2,5,0.981460444404,0.5,0.25,-0.25,0.18927444795
344,16,7.0,51,0.0,3,5,0.994702984115,0.75,0.5625,0.5,0.218296529968
345,127,7.0,51,0.0,4,5,0.981460444404,1.0,1.0,0.0,0.263722397476
346,42,7.0,52,1.0,1,11,0.994702984115,0.25,0.0625,-0.25,0.328706624606
