,QuestionId,Age
0,1.0,0
1,1.0,1
2,1.0,2
3,1.0,5
4,1.0,8
5,1.0,108
6,1.0,158
7,1.0,951
8,1.0,952
9,1.0,1232
10,1.0,1256
11,1.0,1285
12,1.0,1401
13,1.0,1436
14,2.0,0
15,2.0,1
16,2.0,2
17,2.0,15
18,2.0,26
19,2.0,808
20,3.0,0
21,3.0,1
22,3.0,2
23,3.0,3
24,3.0,5
25,3.0,6
26,3.0,8
27,3.0,13
28,3.0,30
29,3.0,48
30,3.0,65
31,3.0,362
32,3.0,401
33,3.0,491
34,3.0,521
35,3.0,615
36,3.0,739
37,3.0,743
38,3.0,751
39,3.0,752
40,3.0,776
41,3.0,781
42,3.0,952
43,3.0,1191
44,3.0,1219
45,3.0,1220
46,3.0,1406
47,7.0,0
48,7.0,1
49,7.0,2
50,7.0,4
51,7.0,5
52,7.0,11
53,7.0,12
54,7.0,45
55,7.0,75
56,7.0,135
57,7.0,140
58,7.0,158
59,7.0,336
60,7.0,338
61,7.0,339
62,7.0,342
63,7.0,343
64,7.0,344
65,7.0,359
66,7.0,457
67,7.0,552
68,7.0,808
69,7.0,851
70,7.0,1069
71,7.0,1366
72,7.0,1371
73,7.0,1469
74,14.0,0
75,14.0,1
76,14.0,2
77,14.0,3
78,14.0,30
79,14.0,37
80,14.0,43
81,14.0,48
82,14.0,50
83,14.0,255
84,14.0,325
85,14.0,889
86,14.0,1365
87,14.0,1366
88,14.0,1367
89,14.0,1369
90,18.0,0
91,18.0,1
92,18.0,2
93,18.0,4
94,18.0,5
95,18.0,8
96,18.0,9
97,18.0,44
98,18.0,55
99,18.0,62
100,18.0,63
101,18.0,140
102,18.0,158
103,18.0,159
104,18.0,167
105,18.0,254
106,18.0,259
107,18.0,262
108,18.0,263
109,18.0,266
110,18.0,316
111,18.0,443
112,18.0,1334
113,21.0,0
114,21.0,1
115,21.0,2
116,21.0,123
117,21.0,194
118,21.0,323
119,21.0,324
120,21.0,328
121,21.0,329
122,21.0,336
123,21.0,339
124,21.0,363
125,22.0,0
126,22.0,1
127,22.0,2
128,22.0,8
129,22.0,16
130,22.0,19
131,22.0,23
132,22.0,28
133,22.0,123
134,22.0,129
135,22.0,163
136,22.0,182
137,22.0,665
138,22.0,703
139,22.0,739
140,22.0,1204
141,22.0,1340
142,22.0,1341
143,22.0,1372
144,22.0,1373
145,22.0,1413
146,25.0,0
147,25.0,2
148,25.0,3
149,25.0,5
150,25.0,6
151,25.0,30
152,25.0,85
153,25.0,90
154,25.0,91
155,25.0,97
156,25.0,102
157,25.0,128
158,25.0,162
159,25.0,344
160,25.0,346
161,25.0,347
162,25.0,867
163,25.0,869
164,25.0,918
165,25.0,960
166,25.0,1072
167,25.0,1073
168,25.0,1138
169,25.0,1140
170,25.0,1218
171,25.0,1375
172,26.0,17
173,26.0,18
174,28.0,0
175,28.0,1
