,QuestionId,AnsRank,Ans_count,AnsId,Age_vot,Votes,ReScore,Norm_Pos,Norm_Pos_2,Norm_DRank,index
0,3.0,5,8,410,5,1.0,0.0,0.625,0.390625,0.0,24
1,3.0,3,8,410,6,1.0,0.0,0.375,0.140625,-0.125,25
2,3.0,3,8,410,8,1.0,0.5,0.375,0.140625,0.0,26
3,3.0,1,8,109,13,1.0,0.857142857143,0.125,0.015625,0.0,27
4,3.0,2,8,9,13,1.0,0.8,0.25,0.0625,0.0,27
5,3.0,3,8,11,13,1.0,0.8,0.375,0.140625,0.0,27
6,3.0,1,8,109,30,1.0,0.875,0.125,0.015625,0.0,28
7,3.0,1,8,109,48,1.0,0.888888888889,0.125,0.015625,0.0,29
8,3.0,1,8,109,65,1.0,0.9,0.125,0.015625,0.0,30
9,3.0,2,8,410,65,1.0,0.666666666667,0.25,0.0625,-0.25,30
10,3.0,1,8,109,362,1.0,0.909090909091,0.125,0.015625,0.0,31
11,3.0,2,8,410,362,1.0,0.75,0.25,0.0625,-0.25,31
12,3.0,3,8,9,362,1.0,0.833333333333,0.375,0.140625,0.125,31
13,3.0,2,8,9,401,1.0,0.857142857143,0.25,0.0625,0.0,32
14,3.0,2,8,410,491,1.0,0.8,0.25,0.0625,-0.125,33
15,3.0,1,8,109,521,1.0,0.916666666667,0.125,0.015625,0.0,34
16,3.0,2,8,410,521,1.0,0.833333333333,0.25,0.0625,-0.125,34
17,3.0,1,8,109,615,1.0,0.769230769231,0.125,0.015625,-0.375,35
18,3.0,2,8,9,615,1.0,0.875,0.25,0.0625,0.125,35
19,3.0,1,8,109,739,1.0,0.785714285714,0.125,0.015625,-0.375,36
20,3.0,1,8,109,743,1.0,0.8,0.125,0.015625,-0.25,37
21,25.0,1,8,67,867,1.0,0.9,0.125,0.015625,0.0,162
22,25.0,5,8,5345,867,1.0,0.0,0.625,0.390625,0.0,162
23,25.0,1,8,67,869,1.0,0.923076923077,0.125,0.015625,0.0,163
24,25.0,2,8,2978,918,1.0,0.5,0.25,0.0625,-0.125,164
25,25.0,1,8,67,960,1.0,0.928571428571,0.125,0.015625,0.0,165
26,63.0,7,8,85,54,1.0,0.0,0.875,0.765625,-0.125,349
27,63.0,2,8,85,55,1.0,0.0,0.25,0.0625,-0.5,350
28,63.0,2,8,736,71,1.0,0.5,0.25,0.0625,-0.25,351
29,63.0,1,8,500,108,1.0,0.857142857143,0.125,0.015625,0.0,352
30,63.0,2,8,736,108,1.0,0.666666666667,0.25,0.0625,-0.25,352
31,63.0,3,8,65,108,1.0,0.727272727273,0.375,0.140625,0.0,352
32,63.0,4,8,1198,108,1.0,0.666666666667,0.5,0.25,-0.125,352
33,63.0,5,8,85,108,1.0,0.5,0.625,0.390625,-0.125,352
34,63.0,2,8,73,123,1.0,0.8,0.25,0.0625,0.0,353
35,63.0,2,8,73,129,1.0,0.833333333333,0.25,0.0625,0.0,354
36,63.0,1,8,500,304,1.0,0.875,0.125,0.015625,0.0,355
37,63.0,1,8,500,454,1.0,0.888888888889,0.125,0.015625,0.0,356
38,108.0,8,8,10483,1115,1.0,0.0,1.0,1.0,0.0,522
39,108.0,1,8,166,1116,1.0,0.952380952381,0.125,0.015625,0.0,523
40,108.0,2,8,894,1116,1.0,0.75,0.25,0.0625,0.0,523
41,108.0,1,8,166,1212,1.0,0.95652173913,0.125,0.015625,0.0,524
42,108.0,1,8,166,1218,1.0,0.958333333333,0.125,0.015625,0.0,525
43,108.0,1,8,166,1257,1.0,0.96,0.125,0.015625,0.0,526
44,108.0,1,8,166,1413,1.0,0.961538461538,0.125,0.015625,0.0,527
45,207.0,7,8,3504,771,1.0,0.0,0.875,0.765625,0.0,756
46,207.0,2,8,2903,772,1.0,0.4,0.25,0.0625,-0.375,757
47,207.0,3,8,3504,772,1.0,0.0,0.375,0.140625,-0.375,757
48,207.0,1,8,211,780,1.0,0.952380952381,0.125,0.015625,0.0,758
49,207.0,8,8,2897,781,1.0,0.666666666667,1.0,1.0,0.625,759
50,207.0,1,8,211,1083,1.0,0.954545454545,0.125,0.015625,0.0,760
51,207.0,1,8,211,1189,1.0,0.958333333333,0.125,0.015625,0.0,762
52,441.0,7,8,4438,728,1.0,0.0,0.875,0.765625,0.0,1275
53,441.0,2,8,444,729,1.0,0.888888888889,0.25,0.0625,0.0,1276
54,441.0,1,8,442,734,1.0,0.916666666667,0.125,0.015625,0.0,1277
55,441.0,2,8,444,734,1.0,0.9,0.25,0.0625,0.0,1277
56,441.0,1,8,442,764,1.0,0.923076923077,0.125,0.015625,0.0,1278
57,441.0,1,8,442,1321,1.0,0.928571428571,0.125,0.015625,0.0,1279
58,441.0,1,8,442,1455,1.0,0.933333333333,0.125,0.015625,0.0,1280
