,Accepted,AcceptedAnsId,Age_vot,AnsId,AnsRank,Ans_count,DRank,Downvotes,Norm_DRank,Norm_Pos,QuestionId,ReScore,Score,Upvotes,Votes,Norm_Pos_2
0,False,-1.0,0,4,1,3,0,1.0,0.0,0.333333333333,1.0,0.0,0.0,2.0,3.0,0.111111111111
2,False,-1.0,0,5,2,3,0,0.0,0.0,0.666666666667,1.0,0.0,0.0,1.0,1.0,0.444444444444
217,False,-1.0,0,56,3,3,0,0.0,0.0,1.0,1.0,0.0,0.0,2.0,2.0,1.0
218,True,56.0,1,56,1,4,0,0.0,0.0,0.25,1.0,0.0,2.0,3.0,3.0,0.0625
1,False,56.0,1,4,2,4,0,0.0,0.0,0.5,1.0,0.0,1.0,1.0,1.0,0.25
3,False,56.0,1,5,3,4,0,1.0,0.0,0.75,1.0,0.0,1.0,0.0,1.0,0.5625
837,False,56.0,1,210,4,4,0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0
219,True,56.0,2,56,1,4,0,0.0,0.0,0.25,1.0,0.666666666667,3.0,1.0,1.0,0.0625
838,False,56.0,2,210,2,4,0,0.0,0.0,0.5,1.0,0.0,1.0,1.0,1.0,0.25
1,False,56.0,2,4,3,4,0,0.0,0.0,0.75,1.0,0.0,1.0,1.0,0.0,0.5625
3,False,56.0,2,5,4,4,0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0
220,True,56.0,5,56,1,4,0,0.0,0.0,0.25,1.0,0.833333333333,1.0,1.0,1.0,0.0625
838,False,56.0,5,210,2,4,0,0.0,0.0,0.5,1.0,0.0,1.0,1.0,0.0,0.25
1,False,56.0,5,4,3,4,0,0.0,0.0,0.75,1.0,0.0,1.0,1.0,0.0,0.5625
3,False,56.0,5,5,4,4,0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0
221,True,56.0,8,56,1,4,0,0.0,0.0,0.25,1.0,0.857142857143,1.0,1.0,1.0,0.0625
838,False,56.0,8,210,2,4,0,0.0,0.0,0.5,1.0,0.0,1.0,1.0,0.0,0.25
1,False,56.0,8,4,3,4,0,0.0,0.0,0.75,1.0,0.0,1.0,1.0,0.0,0.5625
3,False,56.0,8,5,4,4,0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0
221,False,-1.0,108,56,1,5,0,0.0,0.0,0.2,1.0,0.857142857143,1.0,1.0,0.0,0.04
838,False,-1.0,108,210,2,5,0,0.0,0.0,0.4,1.0,0.0,1.0,1.0,0.0,0.16
1,False,-1.0,108,4,3,5,0,0.0,0.0,0.6,1.0,0.0,1.0,1.0,0.0,0.36
3,False,-1.0,108,5,4,5,0,1.0,0.0,0.8,1.0,0.0,1.0,0.0,0.0,0.64
2553,False,-1.0,108,897,5,5,0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0
222,True,56.0,158,56,1,5,0,0.0,0.0,0.2,1.0,0.875,1.0,1.0,1.0,0.04
838,False,56.0,158,210,2,5,0,0.0,0.0,0.4,1.0,0.0,1.0,1.0,0.0,0.16
1,False,56.0,158,4,3,5,0,0.0,0.0,0.6,1.0,0.0,1.0,1.0,0.0,0.36
3,False,56.0,158,5,4,5,0,1.0,0.0,0.8,1.0,0.0,1.0,0.0,0.0,0.64
2553,False,56.0,158,897,5,5,0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0
222,False,-1.0,951,56,1,6,0,0.0,0.0,0.166666666667,1.0,0.875,1.0,1.0,0.0,0.0277777777778
838,False,-1.0,951,210,2,6,0,0.0,0.0,0.333333333333,1.0,0.0,1.0,1.0,0.0,0.111111111111
1,False,-1.0,951,4,3,6,0,0.0,0.0,0.5,1.0,0.0,1.0,1.0,0.0,0.25
3,False,-1.0,951,5,4,6,0,1.0,0.0,0.666666666667,1.0,0.0,1.0,0.0,0.0,0.444444444444
10550,False,-1.0,951,7030,5,6,0,0.0,0.0,0.833333333333,1.0,0.0,0.0,1.0,1.0,0.694444444444
2553,False,-1.0,951,897,6,6,0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0
222,True,56.0,952,56,1,6,0,0.0,0.0,0.166666666667,1.0,0.875,1.0,1.0,0.0,0.0277777777778
10551,False,56.0,952,7030,2,6,0,0.0,0.0,0.333333333333,1.0,0.0,1.0,1.0,1.0,0.111111111111
838,False,56.0,952,210,3,6,0,0.0,0.0,0.5,1.0,0.0,1.0,1.0,0.0,0.25
