,index,AnsRank,Votes,Age_vot,ReScore,Norm_Pos,Norm_Pos_2,Norm_DRank
0,0,1,3.0,0,0.0,0.0,0.0,-0.666666666667
1,0,2,1.0,0,0.0,0.0,0.0,-0.333333333333
2,1,1,3.0,1,0.0,0.0,0.0,-0.75
3,1,2,1.0,1,0.0,0.0,0.0,-0.5
4,1,3,1.0,1,0.0,0.0,0.0,-0.25
5,2,1,1.0,2,0.666666666667,0.0,0.0,-0.75
6,2,2,1.0,2,0.0,0.0,0.0,-0.5
7,2,3,0.0,2,0.0,0.0,0.0,-0.25
8,3,1,1.0,5,0.833333333333,0.0,0.0,-0.75
9,3,2,0.0,5,0.0,0.0,0.0,-0.5
10,3,3,0.0,5,0.0,0.0,0.0,-0.25
11,4,1,1.0,8,0.857142857143,0.0,0.0,-0.75
12,4,2,0.0,8,0.0,0.0,0.0,-0.5
13,4,3,0.0,8,0.0,0.0,0.0,-0.25
14,5,1,0.0,108,0.857142857143,0.0,0.0,-0.8
15,5,2,0.0,108,0.0,0.0,0.0,-0.6
16,5,3,0.0,108,0.0,0.0,0.0,-0.4
17,5,4,0.0,108,0.0,0.0,0.0,-0.2
18,6,1,1.0,158,0.875,0.0,0.0,-0.8
19,6,2,0.0,158,0.0,0.0,0.0,-0.6
20,6,3,0.0,158,0.0,0.0,0.0,-0.4
21,6,4,0.0,158,0.0,0.0,0.0,-0.2
22,7,1,0.0,951,0.875,0.0,0.0,-0.833333333333
23,7,2,0.0,951,0.0,0.0,0.0,-0.666666666667
24,7,3,0.0,951,0.0,0.0,0.0,-0.5
25,7,4,0.0,951,0.0,0.0,0.0,-0.333333333333
26,7,5,1.0,951,0.0,0.0,0.0,-0.166666666667
27,8,1,0.0,952,0.875,0.0,0.0,-0.833333333333
28,8,2,1.0,952,0.0,0.0,0.0,-0.666666666667
29,8,3,0.0,952,0.0,0.0,0.0,-0.5
30,8,4,0.0,952,0.0,0.0,0.0,-0.333333333333
31,8,5,0.0,952,0.0,0.0,0.0,-0.166666666667
32,9,1,0.0,1232,0.875,0.0,0.0,-0.833333333333
33,9,2,1.0,1232,0.5,0.0,0.0,-0.666666666667
34,9,3,0.0,1232,0.0,0.0,0.0,-0.5
35,9,4,0.0,1232,0.0,0.0,0.0,-0.333333333333
36,9,5,0.0,1232,0.0,0.0,0.0,-0.166666666667
37,10,1,0.0,1256,0.875,0.0,0.0,-0.833333333333
38,10,2,1.0,1256,0.666666666667,0.0,0.0,-0.666666666667
39,10,3,0.0,1256,0.0,0.0,0.0,-0.5
40,10,4,0.0,1256,0.0,0.0,0.0,-0.333333333333
41,10,5,0.0,1256,0.0,0.0,0.0,-0.166666666667
42,11,1,0.0,1285,0.875,0.0,0.0,-0.833333333333
43,11,2,1.0,1285,0.75,0.0,0.0,-0.666666666667
44,11,3,0.0,1285,0.0,0.0,0.0,-0.5
45,11,4,0.0,1285,0.0,0.0,0.0,-0.333333333333
46,11,5,0.0,1285,0.0,0.0,0.0,-0.166666666667
47,12,1,0.0,1401,0.875,0.0,0.0,-0.833333333333
48,12,2,1.0,1401,0.8,0.0,0.0,-0.666666666667
49,12,3,0.0,1401,0.0,0.0,0.0,-0.5
50,12,4,0.0,1401,0.0,0.0,0.0,-0.333333333333
51,12,5,0.0,1401,0.0,0.0,0.0,-0.166666666667
52,13,1,0.0,1436,0.875,0.0,0.0,-0.857142857143
53,13,2,0.0,1436,0.8,0.0,0.0,-0.714285714286
54,13,3,0.0,1436,0.0,0.0,0.0,-0.571428571429
55,13,4,0.0,1436,0.0,0.0,0.0,-0.428571428571
56,13,5,0.0,1436,0.0,0.0,0.0,-0.285714285714
57,13,6,3.0,1436,0.0,0.0,0.0,-0.142857142857
58,14,1,1.0,0,0.0,0.0,0.0,-0.8
59,14,2,1.0,0,0.0,0.0,0.0,-0.6
60,14,3,3.0,0,0.0,0.0,0.0,-0.4
61,14,4,3.0,0,0.0,0.0,0.0,-0.2
62,15,1,1.0,1,0.0,0.0,0.0,-0.8
63,15,2,1.0,1,0.0,0.0,0.0,-0.6
64,15,3,0.0,1,0.0,0.0,0.0,-0.4
65,15,4,0.0,1,0.0,0.0,0.0,-0.2
66,16,1,1.0,2,0.75,0.0,0.0,-0.8
67,16,2,0.0,2,0.0,0.0,0.0,-0.6
68,16,3,0.0,2,0.0,0.0,0.0,-0.4
