CommentCreation,AnsCreation,AnsId
2011-11-16T01:24:07.817,2011-11-15T20:53:36.853,4
2011-11-16T14:44:13.217,2011-11-15T20:53:36.853,4
2011-11-16T13:44:48.300,2011-11-15T20:54:09.083,5
2011-11-15T21:02:03.153,2011-11-15T20:58:01.207,9
2011-11-15T23:15:03.087,2011-11-15T20:58:01.207,9
2011-11-16T15:01:04.657,2011-11-15T20:58:01.207,9
2011-11-16T03:07:53.180,2011-11-15T20:58:23.697,10
2011-11-16T15:52:34.510,2011-11-15T20:58:23.697,10
2011-11-19T23:30:11.510,2011-11-15T20:58:23.697,10
2011-11-15T21:40:01.837,2011-11-15T20:59:05.460,11
2013-12-05T21:25:19.743,2011-11-15T20:59:05.460,11
2011-11-15T23:19:13.087,2011-11-15T20:59:33.323,12
2011-11-16T05:11:54.723,2011-11-15T21:00:06.700,13
2011-11-28T23:44:48.250,2011-11-15T21:00:06.700,13
2011-11-29T18:39:45.240,2011-11-15T21:00:06.700,13
2011-12-02T11:41:21.393,2011-11-15T21:00:06.700,13
2011-11-15T23:16:57.360,2011-11-15T21:01:55.490,15
2012-11-01T17:58:59.073,2011-11-15T21:02:11.573,16
2011-11-20T01:42:05.510,2011-11-15T21:05:14.600,17
2011-12-30T10:23:15.113,2011-11-15T21:06:36.000,20
2011-11-15T21:16:51.727,2011-11-15T21:09:05.620,24
2011-11-15T21:39:34.443,2011-11-15T21:09:05.620,24
2011-11-16T08:12:03.813,2011-11-15T21:14:21.990,27
2012-10-26T16:15:14.793,2011-11-15T21:14:21.990,27
2011-11-16T15:01:16.403,2011-11-15T21:17:54.027,33
2011-11-23T21:45:31.263,2011-11-15T21:17:54.027,33
2014-03-25T06:27:22.747,2011-11-15T21:17:54.027,33
2011-11-15T22:19:29.083,2011-11-15T21:19:48.063,36
2012-10-26T16:19:09.920,2011-11-15T21:19:48.063,36
2011-11-15T21:32:33.947,2011-11-15T21:20:30.270,37
2011-11-15T22:17:15.687,2011-11-15T21:20:30.270,37
2011-11-16T00:42:55.453,2011-11-15T21:20:30.270,37
2011-11-16T12:09:45.330,2011-11-15T21:22:59.850,40
2011-11-16T18:59:51.003,2011-11-15T21:22:59.850,40
2011-11-16T19:26:55.110,2011-11-15T21:22:59.850,40
2011-11-15T21:28:41.697,2011-11-15T21:24:02.817,41
2011-11-15T21:43:11.190,2011-11-15T21:24:02.817,41
2011-11-15T21:56:03.803,2011-11-15T21:24:02.817,41
2011-11-15T21:57:18.353,2011-11-15T21:24:02.817,41
2011-12-29T06:03:19.963,2011-11-15T21:24:58.990,42
2012-10-31T22:39:13.390,2011-11-15T21:24:58.990,42
2011-11-15T21:30:32.857,2011-11-15T21:26:08.660,45
2011-11-15T21:32:52.313,2011-11-15T21:26:08.660,45
2012-02-10T12:36:56.450,2011-11-15T21:26:08.660,45
2011-11-15T21:33:06.507,2011-11-15T21:27:40.893,48
2011-11-15T21:35:04.897,2011-11-15T21:27:40.893,48
2011-11-15T21:42:40.930,2011-11-15T21:27:40.893,48
2011-11-15T21:34:59.670,2011-11-15T21:29:00.787,51
2015-01-03T03:17:28.703,2011-11-15T21:29:00.787,51
2012-05-14T03:49:03.623,2011-11-15T21:31:04.313,53
2013-01-10T03:21:54.403,2011-11-15T21:31:04.313,53
2015-02-02T09:05:35.570,2011-11-15T21:31:04.313,53
2011-11-15T22:43:23.987,2011-11-15T21:32:38.070,55
2011-11-16T12:58:22.847,2011-11-15T21:32:38.070,55
2011-11-16T16:47:49.663,2011-11-15T21:32:38.070,55
2011-11-17T08:07:16.220,2011-11-15T21:32:38.070,55
2012-06-03T18:45:53.843,2011-11-15T21:32:38.070,55
2012-06-03T18:50:41.653,2011-11-15T21:32:38.070,55
2013-07-15T02:31:07.770,2011-11-15T21:32:38.070,55
