id,type,ans_count,cr_time,score,poster_rep
1,1,7,2011-11-15T20:45:51.037,12,1317
2,1,6,2011-11-15T20:50:11.270,12,708
3,1,11,2011-11-15T20:52:27.287,26,380
4,2,,2011-11-15T20:53:36.853,2,708
5,2,,2011-11-15T20:54:09.083,0,3
6,2,,2011-11-15T20:54:49.410,1,111
7,1,7,2011-11-15T20:56:40.383,23,460
8,2,,2011-11-15T20:57:41.503,1,445
9,2,,2011-11-15T20:58:01.207,9,404
10,2,,2011-11-15T20:58:23.697,8,2173
11,2,,2011-11-15T20:59:05.460,3,708
12,2,,2011-11-15T20:59:33.323,-2,445
13,2,,2011-11-15T21:00:06.700,5,678
14,1,3,2011-11-15T21:01:05.117,11,430
15,2,,2011-11-15T21:01:55.490,-3,3
16,2,,2011-11-15T21:02:11.573,8,445
17,2,,2011-11-15T21:05:14.600,3,1212
18,1,8,2011-11-15T21:05:54.320,19,430
19,2,,2011-11-15T21:06:20.420,0,3
20,2,,2011-11-15T21:06:36.000,19,678
21,1,6,2011-11-15T21:06:38.027,4,6139
22,1,4,2011-11-15T21:07:56.910,29,380
23,2,,2011-11-15T21:08:39.327,5,708
24,2,,2011-11-15T21:09:05.620,8,1212
25,1,13,2011-11-15T21:10:34.877,18,585
26,1,1,2011-11-15T21:13:20.933,7,730
27,2,,2011-11-15T21:14:21.990,1,1212
28,1,5,2011-11-15T21:15:20.633,15,430
29,2,,2011-11-15T21:16:05.687,1,445
31,1,2,2011-11-15T21:16:33.503,17,186
32,1,1,2011-11-15T21:17:51.077,16,546
33,2,,2011-11-15T21:17:54.027,18,4378
34,1,4,2011-11-15T21:18:22.457,18,585
35,2,,2011-11-15T21:18:24.213,2,6139
36,2,,2011-11-15T21:19:48.063,-2,369
37,2,,2011-11-15T21:20:30.270,10,708
38,1,6,2011-11-15T21:21:58.747,22,6139
39,1,3,2011-11-15T21:22:32.537,2,1545
40,2,,2011-11-15T21:22:59.850,4,546
41,2,,2011-11-15T21:24:02.817,16,779
42,2,,2011-11-15T21:24:58.990,17,412
43,2,,2011-11-15T21:25:39.343,3,445
44,1,4,2011-11-15T21:25:54.713,48,369
45,2,,2011-11-15T21:26:08.660,20,678
46,2,,2011-11-15T21:26:44.013,18,579
47,2,,2011-11-15T21:26:48.393,3,1212
48,2,,2011-11-15T21:27:40.893,4,708
49,2,,2011-11-15T21:27:48.593,5,4378
51,2,,2011-11-15T21:29:00.787,3,369
53,2,,2011-11-15T21:31:04.313,21,6139
55,2,,2011-11-15T21:32:38.070,50,730
56,2,,2011-11-15T21:34:26.457,9,1317
57,2,,2011-11-15T21:34:45.913,16,379
58,2,,2011-11-15T21:38:59.310,5,379
59,2,,2011-11-15T21:39:07.720,1,579
60,1,3,2011-11-15T21:44:38.723,3,916
61,1,3,2011-11-15T21:45:05.360,14,2392
62,2,,2011-11-15T21:45:06.530,14,1317
63,1,9,2011-11-15T21:46:17.603,14,6139
64,1,5,2011-11-15T21:48:06.393,9,460
65,2,,2011-11-15T21:49:18.793,11,445
66,2,,2011-11-15T21:49:28.650,22,708
67,2,,2011-11-15T21:50:20.013,18,7198
68,2,,2011-11-15T21:51:22.733,3,579
69,2,,2011-11-15T21:51:51.347,4,445
70,2,,2011-11-15T21:52:43.910,4,2392
71,2,,2011-11-15T21:52:47.917,4,708
72,2,,2011-11-15T21:53:01.560,12,546
73,2,,2011-11-15T21:53:38.137,7,1212
74,1,2,2011-11-15T21:55:52.547,11,6139
75,2,,2011-11-15T21:59:12.843,3,1317
76,2,,2011-11-15T22:01:49.457,9,328
77,2,,2011-11-15T22:05:24.687,2,916
78,2,,2011-11-15T22:05:49.890,10,728
79,2,,2011-11-15T22:13:26.310,3,779
80,2,,2011-11-15T22:16:41.133,4,728
81,2,,2011-11-15T22:24:28.970,2,779
82,1,3,2011-11-15T22:28:47.707,4,7198
83,1,2,2011-11-15T22:29:20.827,10,163
84,1,13,2011-11-15T22:30:18.397,58,916
85,2,,2011-11-15T22:31:03.233,3,351
86,2,,2011-11-15T22:33:09.523,18,4378
87,2,,2011-11-15T22:35:19.923,3,728
88,2,,2011-11-15T22:35:21.453,4,6139
89,2,,2011-11-15T22:35:58.037,8,81
90,2,,2011-11-15T22:38:08.880,12,351
91,2,,2011-11-15T22:38:57.787,17,779
92,1,5,2011-11-15T22:39:18.653,12,6139
93,2,,2011-11-15T22:39:51.990,24,4378
94,1,4,2011-11-15T22:40:17.573,4,7198
95,2,,2011-11-15T22:40:17.987,1,379
96,2,,2011-11-15T22:40:55.007,4,815
97,2,,2011-11-15T22:42:02.033,10,6139
98,1,4,2011-11-15T22:42:04.090,7,138
99,2,,2011-11-15T22:43:54.727,9,466
100,2,,2011-11-15T22:47:16.623,5,466
101,2,,2011-11-15T22:49:05.673,0,2173
102,2,,2011-11-15T22:49:06.410,4,815
103,2,,2011-11-15T22:50:15.610,9,2173
104,1,3,2011-11-15T22:56:30.693,1,7198
105,2,,2011-11-15T22:59:33.620,1,728
106,2,,2011-11-15T23:00:06.090,0,779
107,2,,2011-11-15T23:00:19.623,4,1212
108,1,12,2011-11-15T23:02:31.883,33,6139
109,2,,2011-11-15T23:05:50.800,20,466
110,2,,2011-11-15T23:08:01.327,2,379
111,2,,2011-11-15T23:11:46.457,0,815
112,2,,2011-11-15T23:12:29.733,2,2173
113,1,7,2011-11-15T23:16:35.987,10,1212
114,2,,2011-11-15T23:17:12.353,10,1317
115,1,3,2011-11-15T23:20:48.443,3,7198
116,2,,2011-11-15T23:21:02.023,0,2173
117,2,,2011-11-15T23:21:20.930,3,379
118,1,1,2011-11-15T23:22:04.377,-1,585
119,2,,2011-11-15T23:23:33.110,3,726
120,2,,2011-11-15T23:23:47.690,2,1212
121,2,,2011-11-15T23:24:13.407,3,779
122,2,,2011-11-15T23:28:07.180,1,728
123,1,5,2011-11-15T23:28:34.530,4,7198
125,2,,2011-11-15T23:35:03.970,1,728
126,2,,2011-11-15T23:39:34.637,11,2173
127,2,,2011-11-15T23:50:37.407,3,3135
129,1,4,2011-11-16T00:06:32.610,15,5951
130,2,,2011-11-16T00:10:31.223,4,585
132,2,,2011-11-16T00:12:35.297,2,311
133,2,,2011-11-16T00:14:44.233,2,770
134,1,5,2011-11-16T00:17:22.650,17,956
136,1,3,2011-11-16T00:25:12.590,9,956
137,1,5,2011-11-16T00:27:31.587,40,2392
138,2,,2011-11-16T00:28:31.740,13,728
139,1,4,2011-11-16T00:28:41.817,1,7198
140,2,,2011-11-16T00:29:25.000,14,6139
141,2,,2011-11-16T00:29:48.047,5,1562
143,2,,2011-11-16T00:37:46.143,1,916
144,1,3,2011-11-16T00:43:35.530,8,7198
145,2,,2011-11-16T00:45:22.557,3,427
146,2,,2011-11-16T00:45:55.313,9,1212
147,2,,2011-11-16T00:51:45.093,1,427
148,2,,2011-11-16T00:53:22.857,-2,311
149,1,3,2011-11-16T00:55:21.680,3,6139
150,1,4,2011-11-16T00:59:54.743,8,7198
151,2,,2011-11-16T01:02:34.820,1,728
152,2,,2011-11-16T01:03:24.593,6,579
153,2,,2011-11-16T01:11:46.840,2,2392
154,2,,2011-11-16T01:15:09.283,1,1212
156,2,,2011-11-16T01:24:17.047,2,1562
157,2,,2011-11-16T01:27:52.627,2,1562
158,2,,2011-11-16T01:34:38.433,11,2392
159,2,,2011-11-16T01:38:05.230,4,311
160,1,1,2011-11-16T02:01:15.043,14,7198
161,2,,2011-11-16T02:36:26.343,0,311
162,2,,2011-11-16T02:45:46.403,5,1212
163,2,,2011-11-16T02:54:20.147,0,311
164,2,,2011-11-16T03:07:40.273,5,1212
165,2,,2011-11-16T03:20:08.677,0,5319
166,2,,2011-11-16T03:23:29.850,27,598
167,2,,2011-11-16T03:33:56.560,-1,5319
168,2,,2011-11-16T03:38:34.707,-2,311
169,1,4,2011-11-16T03:39:24.143,15,329
170,2,,2011-11-16T03:39:48.623,2,5319
171,2,,2011-11-16T03:43:45.617,1,157
172,1,5,2011-11-16T03:45:30.853,10,6139
173,2,,2011-11-16T03:48:16.573,2,157
174,1,4,2011-11-16T03:51:32.917,7,329
175,2,,2011-11-16T03:53:50.310,15,1212
176,2,,2011-11-16T03:54:03.863,1,157
177,2,,2011-11-16T04:00:07.860,7,6139
178,2,,2011-11-16T04:00:32.977,2,1212
179,2,,2011-11-16T04:00:44.633,11,1562
180,2,,2011-11-16T04:01:31.977,0,311
181,2,,2011-11-16T04:05:24.640,3,1562
182,2,,2011-11-16T04:38:30.593,16,726
183,2,,2011-11-16T06:36:27.200,0,815
184,2,,2011-11-16T08:21:16.687,5,4256
185,2,,2011-11-16T08:43:03.697,0,75
186,2,,2011-11-16T08:48:24.213,13,2762
187,2,,2011-11-16T08:51:15.067,1,4256
188,2,,2011-11-16T09:00:04.253,8,2762
189,2,,2011-11-16T09:12:00.343,2,4256
190,2,,2011-11-16T09:14:03.743,2,75
191,2,,2011-11-16T09:50:49.320,53,4513
192,1,3,2011-11-16T10:01:11.773,8,75
193,2,,2011-11-16T10:11:37.683,0,2762
194,2,,2011-11-16T10:15:27.030,11,4513
195,2,,2011-11-16T10:31:54.493,6,4513
196,1,1,2011-11-16T10:32:09.597,6,3135
197,2,,2011-11-16T10:39:55.240,5,4513
198,2,,2011-11-16T10:56:38.923,3,2762
199,2,,2011-11-16T11:07:35.943,8,3135
200,1,1,2011-11-16T12:35:55.060,12,430
201,2,,2011-11-16T12:36:54.760,5,4513
202,1,1,2011-11-16T12:39:58.363,-4,1317
203,2,,2011-11-16T12:48:34.970,1,412
204,2,,2011-11-16T12:54:29.807,5,4513
205,2,,2011-11-16T13:02:01.847,56,3135
206,1,1,2011-11-16T13:40:31.983,3,1317
207,1,10,2011-11-16T13:44:33.543,22,1317
208,2,,2011-11-16T13:55:18.627,4,81
209,2,,2011-11-16T14:16:44.590,4,1545
210,2,,2011-11-16T14:38:00.757,2,3135
211,2,,2011-11-16T14:46:09.800,28,2173
