QuestionId,QuestionCreation,QuestionLastActivity,AcceptedAnsId,AcceptedDate,QScore,QVotes
1,2011-11-15T20:45:51.037,2015-10-21T09:57:50.000,56,2011-11-21T00:00:00.000,12,12
2,2011-11-15T20:50:11.270,2011-12-02T11:38:48.620,10,2011-11-16T00:00:00.000,12,12
3,2011-11-15T20:52:27.287,2015-07-18T09:49:54.953,109,2013-01-19T00:00:00.000,26,30
7,2011-11-15T20:56:40.383,2015-11-23T12:25:29.887,2977,2012-10-22T00:00:00.000,23,26
14,2011-11-15T21:01:05.117,2015-08-13T13:14:56.870,20,2011-11-16T00:00:00.000,11,12
18,2011-11-15T21:05:54.320,2013-01-30T01:19:21.970,33,2011-11-16T00:00:00.000,19,23
21,2011-11-15T21:06:38.027,2015-08-18T11:41:33.417,80,2012-01-30T00:00:00.000,4,5
22,2011-11-15T21:07:56.910,2015-10-06T01:10:36.757,46,2012-01-16T00:00:00.000,29,34
25,2011-11-15T21:10:34.877,2015-08-23T20:30:39.047,67,2011-11-17T00:00:00.000,18,27
26,2011-11-15T21:13:20.933,2012-06-30T00:18:54.007,,,7,7
28,2011-11-15T21:15:20.633,2015-01-02T06:10:43.663,41,2011-11-16T00:00:00.000,15,16
31,2011-11-15T21:16:33.503,2011-11-17T21:57:37.077,,,17,21
32,2011-11-15T21:17:51.077,2015-07-25T21:59:40.913,62,2011-11-16T00:00:00.000,16,20
34,2011-11-15T21:18:22.457,2012-02-27T02:24:34.393,37,2011-11-17T00:00:00.000,18,25
38,2011-11-15T21:21:58.747,2015-10-01T18:03:45.277,2846,2012-09-16T00:00:00.000,22,25
39,2011-11-15T21:22:32.537,2015-09-21T16:44:32.363,43,2011-11-18T00:00:00.000,2,3
44,2011-11-15T21:25:54.713,2015-07-14T01:08:30.603,55,2011-11-17T00:00:00.000,48,61
60,2011-11-15T21:44:38.723,2015-05-25T21:29:20.953,201,2011-11-16T00:00:00.000,3,3
61,2011-11-15T21:45:05.360,2012-06-03T19:19:07.093,66,2011-11-15T00:00:00.000,14,17
63,2011-11-15T21:46:17.603,2013-05-31T21:07:23.770,500,2012-06-28T00:00:00.000,14,19
64,2011-11-15T21:48:06.393,2015-09-04T10:11:50.240,72,2011-11-21T00:00:00.000,9,10
74,2011-11-15T21:55:52.547,2013-11-18T15:18:39.823,78,2011-12-13T00:00:00.000,11,13
82,2011-11-15T22:28:47.707,2015-09-29T23:04:44.330,103,2011-12-15T00:00:00.000,4,9
83,2011-11-15T22:29:20.827,2014-12-07T06:44:10.397,97,2011-11-15T00:00:00.000,10,12
84,2011-11-15T22:30:18.397,2015-10-09T07:35:14.780,205,2011-11-16T00:00:00.000,58,70
92,2011-11-15T22:39:18.653,2014-10-31T21:21:49.430,785,2011-12-10T00:00:00.000,12,14
94,2011-11-15T22:40:17.573,2012-04-18T21:21:42.713,822,2011-12-15T00:00:00.000,4,4
98,2011-11-15T22:42:04.090,2012-01-16T21:58:53.410,107,2011-11-16T00:00:00.000,7,8
104,2011-11-15T22:56:30.693,2011-11-15T23:24:13.407,,,1,1
108,2011-11-15T23:02:31.883,2015-07-18T09:30:48.197,166,2011-11-20T00:00:00.000,33,39
113,2011-11-15T23:16:35.987,2012-05-03T16:41:43.423,194,2011-11-16T00:00:00.000,10,15
115,2011-11-15T23:20:48.443,2012-11-17T06:43:15.317,2270,2012-05-10T00:00:00.000,3,5
118,2011-11-15T23:22:04.377,2012-11-07T18:18:19.713,,,-1,8
123,2011-11-15T23:28:34.530,2012-11-07T18:20:37.980,2162,2012-04-17T00:00:00.000,4,7
129,2011-11-16T00:06:32.610,2012-01-03T01:05:47.683,138,2011-11-16T00:00:00.000,15,20
134,2011-11-16T00:17:22.650,2012-04-18T21:16:41.673,140,2012-01-24T00:00:00.000,17,19
136,2011-11-16T00:25:12.590,2015-09-04T10:07:26.863,158,2011-12-03T00:00:00.000,9,10
137,2011-11-16T00:27:31.587,2015-10-07T07:14:51.830,191,2011-11-16T00:00:00.000,40,53
139,2011-11-16T00:28:41.817,2012-02-02T21:52:50.600,146,2011-12-15T00:00:00.000,1,1
144,2011-11-16T00:43:35.530,2011-11-17T20:05:55.143,195,2011-11-26T00:00:00.000,8,9
149,2011-11-16T00:55:21.680,2012-06-28T03:39:12.780,152,2012-06-28T00:00:00.000,3,3
150,2011-11-16T00:59:54.743,2015-11-02T15:29:38.900,2271,2012-05-10T00:00:00.000,8,12
160,2011-11-16T02:01:15.043,2012-06-18T23:40:26.150,2467,2012-06-20T00:00:00.000,14,17
169,2011-11-16T03:39:24.143,2012-07-04T22:02:20.560,186,2011-11-17T00:00:00.000,15,16
172,2011-11-16T03:45:30.853,2015-11-23T22:57:03.197,175,2012-03-16T00:00:00.000,10,10
174,2011-11-16T03:51:32.917,2011-11-16T14:20:43.647,179,2011-11-16T00:00:00.000,7,7
192,2011-11-16T10:01:11.773,2012-02-13T07:21:11.560,199,2011-11-18T00:00:00.000,8,9
196,2011-11-16T10:32:09.597,2011-11-21T09:14:32.817,197,2011-11-17T00:00:00.000,6,7
200,2011-11-16T12:35:55.060,2012-06-21T15:58:26.760,204,2011-11-23T00:00:00.000,12,15
202,2011-11-16T12:39:58.363,2011-11-16T14:16:44.590,209,2011-11-16T00:00:00.000,-4,6
206,2011-11-16T13:40:31.983,2011-11-16T16:42:38.560,221,2011-11-21T00:00:00.000,3,3
207,2011-11-16T13:44:33.543,2015-10-02T02:35:58.720,211,2011-11-16T00:00:00.000,22,28
213,2011-11-16T15:12:13.120,2013-11-18T15:28:48.347,214,2011-11-19T00:00:00.000,3,3
215,2011-11-16T15:23:06.357,2012-06-12T23:02:14.950,217,2011-11-16T00:00:00.000,14,14
220,2011-11-16T16:40:32.897,2012-07-04T16:38:11.993,227,2011-11-23T00:00:00.000,21,23
222,2011-11-16T16:52:23.650,2014-11-18T22:53:17.603,,,2,7
224,2011-11-16T17:09:12.930,2011-11-29T17:53:49.417,225,2011-11-22T00:00:00.000,8,8
228,2011-11-16T18:17:36.927,2011-11-22T00:51:36.650,230,2011-11-16T00:00:00.000,1,3
231,2011-11-16T18:30:47.707,2013-12-17T19:57:30.737,232,2011-11-17T00:00:00.000,10,10
234,2011-11-16T18:58:35.233,2013-12-05T21:47:07.580,235,2011-11-17T00:00:00.000,5,5
236,2011-11-16T19:29:46.933,2011-11-22T09:48:40.617,241,2011-11-16T00:00:00.000,7,8
237,2011-11-16T19:39:05.900,2011-11-18T10:29:39.330,353,2011-11-18T00:00:00.000,6,6
242,2011-11-16T20:36:37.220,2012-06-07T12:46:52.550,,,5,5
245,2011-11-16T21:25:39.430,2012-12-17T17:34:15.343,248,2012-01-11T00:00:00.000,29,35
249,2011-11-16T23:20:19.200,2015-03-03T19:14:51.973,309,2011-12-03T00:00:00.000,7,7
250,2011-11-16T23:32:55.550,2012-02-29T21:50:22.857,,,8,9
251,2011-11-16T23:48:32.433,2015-10-31T20:18:17.600,256,2011-12-15T00:00:00.000,8,10
252,2011-11-16T23:56:34.063,2013-05-28T18:40:12.723,393,2011-11-21T00:00:00.000,5,7
253,2011-11-17T00:04:20.727,2012-06-21T15:59:53.060,1225,2012-01-20T00:00:00.000,4,4
258,2011-11-17T00:41:41.167,2011-11-17T00:59:31.597,259,2011-12-15T00:00:00.000,2,2
261,2011-11-17T01:00:43.063,2012-01-04T01:50:58.973,262,2011-11-17T00:00:00.000,8,9
263,2011-11-17T01:53:47.567,2011-12-10T04:54:11.830,266,2011-11-17T00:00:00.000,7,8
265,2011-11-17T02:29:42.270,2011-12-08T19:45:29.647,311,2011-11-30T00:00:00.000,1,2
268,2011-11-17T02:52:58.280,2011-12-12T18:59:45.443,273,2011-12-03T00:00:00.000,13,14
272,2011-11-17T03:06:01.357,2013-05-28T18:48:58.140,,,1,7
282,2011-11-17T05:44:03.817,2013-12-09T00:12:03.747,285,2011-11-17T00:00:00.000,6,7
283,2011-11-17T06:24:16.853,2011-11-17T07:08:30.203,286,2011-11-17T00:00:00.000,5,6
288,2011-11-17T06:47:52.230,2015-01-26T15:32:02.973,289,2011-12-03T00:00:00.000,8,9
291,2011-11-17T10:44:09.867,2011-11-17T10:54:48.553,293,2011-11-18T00:00:00.000,6,6
292,2011-11-17T10:52:06.290,2012-05-28T21:44:28.127,294,2011-11-17T00:00:00.000,10,12
295,2011-11-17T11:09:36.033,2013-12-01T11:08:02.893,296,2011-12-02T00:00:00.000,4,5
298,2011-11-17T14:40:23.420,2011-11-17T14:49:07.847,300,2011-11-18T00:00:00.000,6,6
299,2011-11-17T14:42:36.570,2015-09-08T14:52:57.623,303,2011-11-17T00:00:00.000,12,14
302,2011-11-17T15:05:07.310,2012-01-31T23:58:16.770,,,6,6
304,2011-11-17T15:15:49.703,2015-08-24T12:49:27.487,343,2013-12-31T00:00:00.000,9,9
305,2011-11-17T15:26:32.480,2014-01-04T07:33:40.590,371,2012-02-22T00:00:00.000,4,4
310,2011-11-17T16:44:43.447,2011-11-21T15:51:18.263,318,2011-12-02T00:00:00.000,4,4
313,2011-11-17T17:06:45.023,2014-06-23T05:59:44.433,473,2011-11-28T00:00:00.000,19,28
315,2011-11-17T17:34:30.213,2014-08-03T19:26:14.890,317,2011-11-18T00:00:00.000,8,11
316,2011-11-17T17:40:57.437,2014-02-25T16:12:44.680,320,2012-09-17T00:00:00.000,12,16
319,2011-11-17T19:07:07.677,2013-10-24T15:02:15.043,337,2011-12-03T00:00:00.000,9,14
322,2011-11-17T19:20:58.823,2014-09-22T14:35:30.703,1772,2012-02-08T00:00:00.000,6,8
323,2011-11-17T19:24:20.437,2011-11-20T02:29:38.957,327,2011-11-21T00:00:00.000,6,12
324,2011-11-17T19:31:35.517,2015-04-16T15:20:15.563,,,9,11
328,2011-11-17T19:53:20.107,2015-08-19T09:30:44.263,335,2013-11-02T00:00:00.000,21,26
330,2011-11-17T20:17:38.277,2011-11-27T12:25:54.943,619,2011-12-07T00:00:00.000,4,6
331,2011-11-17T20:29:04.903,2011-11-18T14:39:07.390,,,2,4
338,2011-11-17T22:58:20.497,2011-11-19T03:10:44.157,340,2011-11-19T00:00:00.000,2,2
342,2011-11-17T23:46:35.527,2011-11-20T15:05:35.783,345,2011-11-22T00:00:00.000,14,16
346,2011-11-18T00:27:24.200,2014-11-26T22:41:56.320,347,2011-11-19T00:00:00.000,15,18
352,2011-11-18T06:38:10.467,2012-04-18T21:25:43.347,366,2011-12-08T00:00:00.000,8,8
356,2011-11-18T11:25:46.143,2012-02-05T09:45:49.163,358,2011-11-24T00:00:00.000,6,8
359,2011-11-18T12:24:54.893,2014-12-10T21:51:12.573,,,8,9
362,2011-11-18T14:04:35.887,2012-02-15T18:25:52.750,,,7,7
364,2011-11-18T14:25:35.943,2015-08-04T07:47:59.723,365,2011-11-21T00:00:00.000,5,5
369,2011-11-18T18:16:13.190,2013-05-28T18:49:22.407,379,2011-11-21T00:00:00.000,4,8
375,2011-11-18T21:37:04.010,2011-11-18T22:16:55.477,376,2013-12-31T00:00:00.000,10,10
377,2011-11-19T02:31:14.440,2014-09-18T17:29:37.303,,,7,9
378,2011-11-19T02:48:02.643,2011-11-19T09:25:34.813,,,5,6
381,2011-11-19T03:35:48.137,2011-11-19T19:55:01.890,401,2011-11-20T00:00:00.000,14,15
383,2011-11-19T05:53:31.833,2011-11-22T08:53:16.523,386,2012-04-09T00:00:00.000,7,7
385,2011-11-19T09:01:57.243,2014-04-13T13:06:40.947,391,2011-11-21T00:00:00.000,10,10
387,2011-11-19T10:12:20.940,2012-03-26T00:40:55.630,395,2011-11-22T00:00:00.000,5,5
394,2011-11-19T15:02:27.867,2011-11-22T00:50:40.820,402,2011-11-21T00:00:00.000,8,9
396,2011-11-19T18:07:00.453,2012-02-13T07:19:23.670,398,2011-11-20T00:00:00.000,9,11
403,2011-11-19T23:40:23.933,2011-11-22T16:38:12.843,,,2,5
405,2011-11-20T01:44:38.840,2011-11-20T15:06:02.540,406,2011-11-20T00:00:00.000,6,7
407,2011-11-20T02:07:36.800,2012-09-15T19:49:08.763,408,2011-11-20T00:00:00.000,10,14
412,2011-11-20T18:30:00.063,2012-05-16T02:53:47.813,,,13,16
414,2011-11-20T19:32:49.837,2011-11-23T22:38:48.487,416,2011-11-22T00:00:00.000,4,4
417,2011-11-21T02:49:38.210,2011-11-21T09:39:08.483,,,5,5
418,2011-11-21T04:25:22.573,2014-02-18T13:14:55.270,425,2011-11-21T00:00:00.000,13,13
420,2011-11-21T06:02:30.193,2011-11-22T09:22:35.123,423,2011-11-21T00:00:00.000,8,8
426,2011-11-21T14:46:32.023,2011-11-25T18:12:29.507,597,2011-11-27T00:00:00.000,8,8
429,2011-11-21T17:12:11.423,2014-05-28T00:38:48.137,430,2011-11-22T00:00:00.000,7,7
431,2011-11-21T17:46:32.713,2013-01-25T20:57:27.670,437,2011-12-15T00:00:00.000,6,7
432,2011-11-21T18:03:07.090,2013-02-07T07:33:54.397,436,2012-01-20T00:00:00.000,6,7
433,2011-11-21T18:14:48.827,2013-05-30T02:16:07.867,435,2011-12-15T00:00:00.000,9,9
438,2011-11-21T19:06:25.760,2011-11-22T02:16:40.957,439,2011-11-26T00:00:00.000,8,10
441,2011-11-21T22:15:46.937,2013-11-16T15:13:09.550,442,2011-11-22T00:00:00.000,11,16
446,2011-11-21T23:09:25.327,2013-06-08T11:48:06.103,448,2011-12-15T00:00:00.000,7,9
450,2011-11-21T23:55:25.203,2015-02-01T15:41:08.530,,,12,12
452,2011-11-22T00:51:00.567,2013-02-21T11:29:36.197,454,2011-12-06T00:00:00.000,8,8
455,2011-11-22T02:37:14.433,2012-02-29T23:42:02.383,,,8,9
456,2011-11-22T06:19:19.307,2012-12-11T11:10:53.170,461,2011-11-22T00:00:00.000,12,13
457,2011-11-22T09:26:55.917,2015-11-01T18:51:51.647,459,2015-11-02T00:00:00.000,11,12
463,2011-11-22T14:30:06.163,2013-04-03T03:12:52.237,465,2011-12-02T00:00:00.000,7,7
468,2011-11-22T16:15:29.030,2012-04-02T20:50:36.603,469,2011-11-26T00:00:00.000,14,15
471,2011-11-22T17:50:12.340,2014-07-02T00:45:14.333,518,2014-07-02T00:00:00.000,9,9
475,2011-11-22T19:37:21.493,2011-11-22T19:57:50.487,476,2011-12-02T00:00:00.000,3,3
477,2011-11-22T20:33:36.693,2011-11-23T07:53:23.453,499,2012-02-22T00:00:00.000,4,4
478,2011-11-22T20:52:09.663,2015-09-29T22:28:45.333,494,2011-12-02T00:00:00.000,3,3
479,2011-11-22T21:06:57.193,2012-04-20T08:12:14.623,516,2011-12-02T00:00:00.000,4,4
480,2011-11-22T21:29:46.480,2014-11-18T17:54:40.873,501,2011-11-23T00:00:00.000,7,8
482,2011-11-22T21:50:08.560,2011-11-22T22:08:57.907,483,2011-12-02T00:00:00.000,5,5
484,2011-11-22T22:10:25.743,2012-01-07T00:39:21.987,486,2011-12-02T00:00:00.000,5,5
487,2011-11-22T22:20:21.400,2014-06-23T06:29:59.387,488,2011-12-13T00:00:00.000,13,16
491,2011-11-22T22:30:43.173,2012-07-13T15:38:06.007,493,2011-11-29T00:00:00.000,4,4
503,2011-11-23T04:57:28.017,2012-03-20T17:12:14.170,515,2012-01-17T00:00:00.000,3,4
504,2011-11-23T05:02:22.843,2012-04-18T21:24:35.220,506,2012-01-30T00:00:00.000,9,11
505,2011-11-23T05:11:55.507,2011-11-23T05:43:36.477,507,2011-11-26T00:00:00.000,7,7
513,2011-11-23T06:55:28.163,2013-12-21T02:36:25.807,2323,2012-06-02T00:00:00.000,41,44
521,2011-11-23T17:01:11.740,2015-06-11T22:54:42.610,534,2011-11-26T00:00:00.000,20,29
523,2011-11-23T18:27:29.430,2015-10-29T11:13:43.897,529,2011-11-29T00:00:00.000,32,38
530,2011-11-23T19:26:54.110,2011-11-24T14:09:00.753,553,2011-11-25T00:00:00.000,6,6
536,2011-11-23T22:51:27.137,2015-08-12T19:05:03.460,13482,2015-08-12T00:00:00.000,8,10
539,2011-11-24T06:50:17.903,2015-08-19T09:28:18.203,554,2011-11-30T00:00:00.000,12,17
540,2011-11-24T08:03:49.747,2012-05-10T03:38:37.483,2272,2012-05-10T00:00:00.000,9,9
541,2011-11-24T08:10:16.710,2011-12-01T02:04:31.487,543,2012-01-30T00:00:00.000,7,7
542,2011-11-24T08:18:58.860,2012-01-30T07:29:55.077,547,2011-11-30T00:00:00.000,7,7
555,2011-11-24T14:36:52.083,2012-04-26T19:48:52.733,,,14,17
558,2011-11-24T16:53:04.657,2011-12-01T12:49:27.707,573,2012-07-10T00:00:00.000,8,8
559,2011-11-24T17:09:37.773,2012-03-07T15:10:24.113,562,2011-11-24T00:00:00.000,18,20
