QuestionId,CreationDate,LastActivity,Score,AnsCount,CommentCount,FavCount,Votes,ViewCount
1,2011-11-15T20:45:51.037,2015-10-21T09:57:50.000,12,7,6,,12,5776
2,2011-11-15T20:50:11.270,2011-12-02T11:38:48.620,12,6,3,,12,3028
3,2011-11-15T20:52:27.287,2015-07-18T09:49:54.953,26,11,1,3,30,8607
7,2011-11-15T20:56:40.383,2015-11-23T12:25:29.887,23,7,2,2,26,21948
14,2011-11-15T21:01:05.117,2015-08-13T13:14:56.870,11,3,2,,12,5659
18,2011-11-15T21:05:54.320,2013-01-30T01:19:21.970,19,8,4,1,23,1344
21,2011-11-15T21:06:38.027,2015-08-18T11:41:33.417,4,6,1,1,5,6430
22,2011-11-15T21:07:56.910,2015-10-06T01:10:36.757,29,4,7,4,34,918
25,2011-11-15T21:10:34.877,2015-08-23T20:30:39.047,18,13,0,5,27,10609
26,2011-11-15T21:13:20.933,2012-06-30T00:18:54.007,7,1,4,,7,205
28,2011-11-15T21:15:20.633,2015-01-02T06:10:43.663,15,5,0,1,16,1369
31,2011-11-15T21:16:33.503,2011-11-17T21:57:37.077,17,2,0,4,21,1826
32,2011-11-15T21:17:51.077,2015-07-25T21:59:40.913,16,1,15,,20,2466
34,2011-11-15T21:18:22.457,2012-02-27T02:24:34.393,18,4,2,7,25,1094
38,2011-11-15T21:21:58.747,2015-10-01T18:03:45.277,22,6,2,3,25,18316
39,2011-11-15T21:22:32.537,2015-09-21T16:44:32.363,2,3,7,,3,661
44,2011-11-15T21:25:54.713,2015-07-14T01:08:30.603,48,4,8,11,61,5223
60,2011-11-15T21:44:38.723,2015-05-25T21:29:20.953,3,3,0,,3,370
61,2011-11-15T21:45:05.360,2012-06-03T19:19:07.093,14,3,1,2,17,3996
63,2011-11-15T21:46:17.603,2013-05-31T21:07:23.770,14,9,0,3,19,10676
64,2011-11-15T21:48:06.393,2015-09-04T10:11:50.240,9,5,2,1,10,226
74,2011-11-15T21:55:52.547,2013-11-18T15:18:39.823,11,2,3,2,13,590
82,2011-11-15T22:28:47.707,2015-09-29T23:04:44.330,4,3,1,1,9,1392
83,2011-11-15T22:29:20.827,2014-12-07T06:44:10.397,10,2,3,,12,190
84,2011-11-15T22:30:18.397,2015-10-09T07:35:14.780,58,13,8,7,70,4044
92,2011-11-15T22:39:18.653,2014-10-31T21:21:49.430,12,5,4,1,14,15238
94,2011-11-15T22:40:17.573,2012-04-18T21:21:42.713,4,4,0,,4,987
98,2011-11-15T22:42:04.090,2012-01-16T21:58:53.410,7,4,2,,8,256
104,2011-11-15T22:56:30.693,2011-11-15T23:24:13.407,1,3,0,,1,3229
108,2011-11-15T23:02:31.883,2015-07-18T09:30:48.197,33,12,5,6,39,4656
113,2011-11-15T23:16:35.987,2012-05-03T16:41:43.423,10,7,7,,15,8615
115,2011-11-15T23:20:48.443,2012-11-17T06:43:15.317,3,3,1,,5,8127
118,2011-11-15T23:22:04.377,2012-11-07T18:18:19.713,-1,1,4,,8,987
123,2011-11-15T23:28:34.530,2012-11-07T18:20:37.980,4,5,0,,7,951
129,2011-11-16T00:06:32.610,2012-01-03T01:05:47.683,15,4,0,2,20,333
134,2011-11-16T00:17:22.650,2012-04-18T21:16:41.673,17,5,0,1,19,1453
136,2011-11-16T00:25:12.590,2015-09-04T10:07:26.863,9,3,0,1,10,1924
137,2011-11-16T00:27:31.587,2015-10-07T07:14:51.830,40,5,5,9,53,1401
139,2011-11-16T00:28:41.817,2012-02-02T21:52:50.600,1,4,3,,1,5031
144,2011-11-16T00:43:35.530,2011-11-17T20:05:55.143,8,3,7,1,9,1170
149,2011-11-16T00:55:21.680,2012-06-28T03:39:12.780,3,3,1,,3,463
150,2011-11-16T00:59:54.743,2015-11-02T15:29:38.900,8,4,1,,12,6136
160,2011-11-16T02:01:15.043,2012-06-18T23:40:26.150,14,1,11,1,17,1309
169,2011-11-16T03:39:24.143,2012-07-04T22:02:20.560,15,4,1,1,16,4362
172,2011-11-16T03:45:30.853,2015-11-23T22:57:03.197,10,5,1,,10,7760
174,2011-11-16T03:51:32.917,2011-11-16T14:20:43.647,7,4,0,,7,230
192,2011-11-16T10:01:11.773,2012-02-13T07:21:11.560,8,3,1,,9,672
196,2011-11-16T10:32:09.597,2011-11-21T09:14:32.817,6,1,0,1,7,206
200,2011-11-16T12:35:55.060,2012-06-21T15:58:26.760,12,1,3,2,15,208
202,2011-11-16T12:39:58.363,2011-11-16T14:16:44.590,-4,1,8,,6,967
206,2011-11-16T13:40:31.983,2011-11-16T16:42:38.560,3,1,0,,3,568
207,2011-11-16T13:44:33.543,2015-10-02T02:35:58.720,22,10,2,2,28,6145
213,2011-11-16T15:12:13.120,2013-11-18T15:28:48.347,3,2,5,,3,1397
215,2011-11-16T15:23:06.357,2012-06-12T23:02:14.950,14,3,0,,14,477
220,2011-11-16T16:40:32.897,2012-07-04T16:38:11.993,21,1,3,2,23,4723
222,2011-11-16T16:52:23.650,2014-11-18T22:53:17.603,2,1,10,,7,232
224,2011-11-16T17:09:12.930,2011-11-29T17:53:49.417,8,1,0,,8,2381
228,2011-11-16T18:17:36.927,2011-11-22T00:51:36.650,1,1,2,,3,772
231,2011-11-16T18:30:47.707,2013-12-17T19:57:30.737,10,3,4,,10,1785
234,2011-11-16T18:58:35.233,2013-12-05T21:47:07.580,5,2,3,,5,437
236,2011-11-16T19:29:46.933,2011-11-22T09:48:40.617,7,4,3,1,8,1124
237,2011-11-16T19:39:05.900,2011-11-18T10:29:39.330,6,2,5,,6,610
242,2011-11-16T20:36:37.220,2012-06-07T12:46:52.550,5,2,0,,5,442
245,2011-11-16T21:25:39.430,2012-12-17T17:34:15.343,29,2,8,6,35,2813
249,2011-11-16T23:20:19.200,2015-03-03T19:14:51.973,7,2,3,,7,1332
250,2011-11-16T23:32:55.550,2012-02-29T21:50:22.857,8,2,1,1,9,695
251,2011-11-16T23:48:32.433,2015-10-31T20:18:17.600,8,2,0,2,10,613
252,2011-11-16T23:56:34.063,2013-05-28T18:40:12.723,5,4,0,,7,1148
253,2011-11-17T00:04:20.727,2012-06-21T15:59:53.060,4,3,0,,4,193
258,2011-11-17T00:41:41.167,2011-11-17T00:59:31.597,2,2,0,,2,104
261,2011-11-17T01:00:43.063,2012-01-04T01:50:58.973,8,2,2,,9,270
263,2011-11-17T01:53:47.567,2011-12-10T04:54:11.830,7,1,1,1,8,511
265,2011-11-17T02:29:42.270,2011-12-08T19:45:29.647,1,2,7,,2,236
268,2011-11-17T02:52:58.280,2011-12-12T18:59:45.443,13,3,6,1,14,2052
272,2011-11-17T03:06:01.357,2013-05-28T18:48:58.140,1,3,5,,7,515
282,2011-11-17T05:44:03.817,2013-12-09T00:12:03.747,6,2,0,,7,38634
283,2011-11-17T06:24:16.853,2011-11-17T07:08:30.203,5,2,0,1,6,426
288,2011-11-17T06:47:52.230,2015-01-26T15:32:02.973,8,3,4,1,9,1622
291,2011-11-17T10:44:09.867,2011-11-17T10:54:48.553,6,1,0,,6,1216
292,2011-11-17T10:52:06.290,2012-05-28T21:44:28.127,10,4,0,1,12,1676
295,2011-11-17T11:09:36.033,2013-12-01T11:08:02.893,4,1,1,1,5,259
298,2011-11-17T14:40:23.420,2011-11-17T14:49:07.847,6,1,0,,6,134
299,2011-11-17T14:42:36.570,2015-09-08T14:52:57.623,12,2,2,0,14,1085
302,2011-11-17T15:05:07.310,2012-01-31T23:58:16.770,6,1,4,,6,349
304,2011-11-17T15:15:49.703,2015-08-24T12:49:27.487,9,3,2,,9,571
305,2011-11-17T15:26:32.480,2014-01-04T07:33:40.590,4,1,2,,4,184
310,2011-11-17T16:44:43.447,2011-11-21T15:51:18.263,4,2,5,,4,242
313,2011-11-17T17:06:45.023,2014-06-23T05:59:44.433,19,3,1,8,28,540
315,2011-11-17T17:34:30.213,2014-08-03T19:26:14.890,8,3,7,3,11,3625
316,2011-11-17T17:40:57.437,2014-02-25T16:12:44.680,12,5,4,,16,1136
