parent_id,ans_count,acc_id,reply_time,rep_reputation,rep_id
1,7,56,2011-11-15T20:53:36.853,708,4
1,7,56,2011-11-15T20:54:09.083,3,5
2,6,10,2011-11-15T20:54:49.410,111,6
2,6,10,2011-11-15T20:57:41.503,445,8
3,11,109,2011-11-15T20:58:01.207,404,9
2,6,10,2011-11-15T20:58:23.697,2173,10
3,11,109,2011-11-15T20:59:05.460,708,11
3,11,109,2011-11-15T20:59:33.323,445,12
2,6,10,2011-11-15T21:00:06.700,678,13
3,11,109,2011-11-15T21:01:55.490,3,15
7,7,2977,2011-11-15T21:02:11.573,445,16
7,7,2977,2011-11-15T21:05:14.600,1212,17
2,6,10,2011-11-15T21:06:20.420,3,19
14,3,20,2011-11-15T21:06:36.000,678,20
14,3,20,2011-11-15T21:08:39.327,708,23
18,8,33,2011-11-15T21:09:05.620,1212,24
25,13,67,2011-11-15T21:14:21.990,1212,27
25,13,67,2011-11-15T21:16:05.687,445,29
18,8,33,2011-11-15T21:17:54.027,4378,33
3,11,109,2011-11-15T21:18:24.213,6139,35
25,13,67,2011-11-15T21:19:48.063,369,36
34,4,37,2011-11-15T21:20:30.270,708,37
21,6,80,2011-11-15T21:22:59.850,546,40
28,5,41,2011-11-15T21:24:02.817,779,41
7,7,2977,2011-11-15T21:24:58.990,412,42
39,3,43,2011-11-15T21:25:39.343,445,43
31,2,,2011-11-15T21:26:08.660,678,45
22,4,46,2011-11-15T21:26:44.013,579,46
38,6,2846,2011-11-15T21:26:48.393,1212,47
38,6,2846,2011-11-15T21:27:40.893,708,48
25,13,67,2011-11-15T21:27:48.593,4378,49
28,5,41,2011-11-15T21:29:00.787,369,51
44,4,55,2011-11-15T21:31:04.313,6139,53
44,4,55,2011-11-15T21:32:38.070,730,55
1,7,56,2011-11-15T21:34:26.457,1317,56
38,6,2846,2011-11-15T21:34:45.913,379,57
28,5,41,2011-11-15T21:38:59.310,379,58
2,6,10,2011-11-15T21:39:07.720,579,59
32,1,62,2011-11-15T21:45:06.530,1317,62
63,9,500,2011-11-15T21:49:18.793,445,65
61,3,66,2011-11-15T21:49:28.650,708,66
25,13,67,2011-11-15T21:50:20.013,7198,67
64,5,72,2011-11-15T21:51:22.733,579,68
64,5,72,2011-11-15T21:51:51.347,445,69
64,5,72,2011-11-15T21:52:43.910,2392,70
64,5,72,2011-11-15T21:52:47.917,708,71
64,5,72,2011-11-15T21:53:01.560,546,72
63,9,500,2011-11-15T21:53:38.137,1212,73
63,9,500,2011-11-15T21:59:12.843,1317,75
22,4,46,2011-11-15T22:01:49.457,328,76
63,9,500,2011-11-15T22:05:24.687,916,77
74,2,78,2011-11-15T22:05:49.890,728,78
60,3,201,2011-11-15T22:13:26.310,779,79
21,6,80,2011-11-15T22:16:41.133,728,80
26,1,,2011-11-15T22:24:28.970,779,81
63,9,500,2011-11-15T22:31:03.233,351,85
31,2,,2011-11-15T22:33:09.523,4378,86
84,13,205,2011-11-15T22:35:19.923,728,87
34,4,37,2011-11-15T22:35:21.453,6139,88
84,13,205,2011-11-15T22:35:58.037,81,89
22,4,46,2011-11-15T22:38:08.880,351,90
84,13,205,2011-11-15T22:38:57.787,779,91
84,13,205,2011-11-15T22:39:51.990,4378,93
84,13,205,2011-11-15T22:40:17.987,379,95
74,2,78,2011-11-15T22:40:55.007,815,96
83,2,97,2011-11-15T22:42:02.033,6139,97
83,2,97,2011-11-15T22:43:54.727,466,99
92,5,785,2011-11-15T22:47:16.623,466,100
92,5,785,2011-11-15T22:49:05.673,2173,101
84,13,205,2011-11-15T22:49:06.410,815,102
82,3,103,2011-11-15T22:50:15.610,2173,103
98,4,107,2011-11-15T22:59:33.620,728,105
98,4,107,2011-11-15T23:00:06.090,779,106
98,4,107,2011-11-15T23:00:19.623,1212,107
3,11,109,2011-11-15T23:05:50.800,466,109
104,3,,2011-11-15T23:08:01.327,379,110
104,3,,2011-11-15T23:11:46.457,815,111
108,12,166,2011-11-15T23:12:29.733,2173,112
84,13,205,2011-11-15T23:17:12.353,1317,114
113,7,194,2011-11-15T23:21:02.023,2173,116
113,7,194,2011-11-15T23:21:20.930,379,117
108,12,166,2011-11-15T23:23:33.110,726,119
115,3,2270,2011-11-15T23:23:47.690,1212,120
104,3,,2011-11-15T23:24:13.407,779,121
118,1,,2011-11-15T23:28:07.180,728,122
123,5,2162,2011-11-15T23:35:03.970,728,125
123,5,2162,2011-11-15T23:39:34.637,2173,126
7,7,2977,2011-11-15T23:50:37.407,3135,127
